product_name,price
The Pop Shoppe - Root Beer,25.0
Pepper - Roasted Red,10.4
Sponge Cake Mix - Vanilla,29.3
Appetizer - Mushroom Tart,15.3
Cheese - Stilton,17.7
Tomatoes - Grape,29.9
Cheese - Mozzarella,23.2
"Pork - Sausage, Medium",27.4
Halibut - Fletches,10.4
Bay Leaf,20.3
Muffin Batt - Ban Dream Zero,14.1
"Turnip - White, Organic",12.1
Salmon Steak - Cohoe 6 Oz,5.2
Cookies - Englishbay Wht,9.5
Muffin - Mix - Bran And Maple 15l,23.9
Tea - Decaf 1 Cup,16.8
Chivas Regal - 12 Year Old,25.8
Veal - Nuckle,10.9
Devonshire Cream,14.6
Cheese - Gouda,7.4
Milk - Chocolate 500ml,18.8
Wine - Barossa Valley Estate,13.1
Creme De Menth - White,11.7
Potatoes - Mini Red,8.5
Appetizer - Seafood Assortment,1.8
Garlic - Elephant,8.1
Corn Syrup,19.3
Lime Cordial - Roses,14.4
"Soup - French Onion, Dry",18.9
Butter - Salted,27.4
Sauce Tomato Pouch,11.5
Oregano - Fresh,27.9
Potatoes - Fingerling 4 Oz,9.7
Tomatillo,11.4
White Fish - Filets,18.3
Puree - Strawberry,25.7
"Croissant, Raw - Mini",12.0
Trout Rainbow Whole,22.6
Rice - 7 Grain Blend,27.1
"Mushroom - Enoki, Dry",1.7
Praline Paste,25.7
Bag Stand,5.6
Wine - Magnotta - Pinot Gris Sr,9.9
Muffin - Mix - Strawberry Rhubarb,8.3
Carbonated Water - Wildberry,2.8
Coffee - Decaffeinato Coffee,2.9
Wine - Stoneliegh Sauvignon,26.6
"Beef - Rib Roast, Cap On",22.8
Chocolate Liqueur - Godet White,7.2
Cabbage Roll,11.6
"Beans - Black Bean, Dry",2.2
"Vermouth - White, Cinzano",5.0
Sproutsmustard Cress,7.5
Eggplant Italian,11.8
Hagen Daza - Dk Choocolate,17.0
Cookies - Englishbay Oatmeal,23.7
"Pork - Bacon, Double Smoked",1.7
Chocolate - Semi Sweet,13.1
Cornish Hen,4.1
Rice Wine - Aji Mirin,7.1
Steampan - Half Size Shallow,1.0
Cookies - Englishbay Wht,25.3
"Salmon - Atlantic, Fresh, Whole",13.0
Food Colouring - Red,25.1
Corn Syrup,18.1
Beef - Inside Round,18.2
Wine - Periguita Fonseca,26.7
Sauce - Balsamic Viniagrette,2.1
"Lid - High Heat, Super Clear",4.8
Ice Cream - Life Savers,7.6
Squash - Sunburst,25.4
"Iced Tea - Lemon, 460 Ml",17.0
Snapple Raspberry Tea,5.6
Bread Foccacia Whole,17.0
Flour - Masa De Harina Mexican,3.2
Veal - Sweetbread,21.6
Spice - Paprika,13.8
"Lettuce - Mini Greens, Whole",10.7
Chocolate - Sugar Free Semi Choc,28.8
Pails With Lids,13.5
Island Oasis - Peach Daiquiri,13.8
Veal - Osso Bucco,12.2
Sardines,3.5
"Bread - Bagels, Plain",7.6
"Soup - Campbells, Spinach Crm",14.9
"Veal - Chops, Split, Frenched",29.7
Bacardi Limon,8.5
Garlic - Elephant,18.5
Cookie Dough - Chocolate Chip,27.7
"Bread - Roll, Italian",26.6
Versatainer Nc - 888,24.6
Catfish - Fillets,27.2
Snapple Raspberry Tea,16.5
Bread Fig And Almond,5.8
Glove - Cutting,29.7
Salt - Kosher,24.9
Oil - Grapeseed Oil,9.4
Pectin,20.7
Mushrooms - Honey,24.1
"Wine - White, Riesling, Semi - Dry",29.4
Wine - German Riesling,25.3
Scrubbie - Scotchbrite Hand Pad,27.7
Baking Powder,9.5
Cake - Miini Cheesecake Cherry,23.2
Table Cloth 54x72 Colour,10.4
Snails - Large Canned,25.7
Bread - Granary Small Pull,20.1
Soup - Campbells Broccoli,16.6
Cocoa Powder - Dutched,27.5
Cheese - Provolone,5.6
Wine - Duboeuf Beaujolais,18.3
Bread - Italian Roll With Herbs,7.2
Cookie Dough - Peanut Butter,15.4
"Tortillas - Flour, 12",24.2
Lobster - Base,26.1
Lid - 3oz Med Rec,11.1
Lettuce - Arugula,6.5
"Halibut - Whole, Fresh",3.3
Nantucket - Carrot Orange,23.1
Lemon Grass,27.4
"Shrimp - 16 - 20 Cooked, Peeled",3.8
"Lamb - Racks, Frenched",17.1
Pur Source,27.5
Jam - Apricot,20.7
"Water - Mineral, Natural",14.2
Swiss Chard,5.6
"Veal - Chops, Split, Frenched",15.7
Pastry - Mini French Pastries,4.2
Rice - Aborio,21.7
Lettuce - Lolla Rosa,16.2
Flower - Potmums,22.9
Milk - Skim,26.4
"Asparagus - Green, Fresh",27.5
Broom - Corn,4.5
Garlic Powder,19.9
"Garlic - Primerba, Paste",8.2
"Pasta - Cappellini, Dry",21.2
Table Cloth 144x90 White,27.6
"Wine - Mas Chicet Rose, Vintage",1.3
Pork - Suckling Pig,12.9
Muffin Hinge - 211n,14.1
Teriyaki Sauce,24.5
Tofu - Firm,12.8
Mustard - Individual Pkg,8.9
Mikes Hard Lemonade,18.7
"Nut - Hazelnut, Whole",5.1
Muffin - Blueberry Individual,28.6
Oxtail - Cut,21.3
Jameson - Irish Whiskey,1.0
Cheese - Brie,25.7
Bread - Hot Dog Buns,21.8
Nantucket - Carrot Orange,5.2
Beer - Sleemans Cream Ale,18.5
Wine - Zinfandel Rosenblum,1.0
"Nut - Walnut, Chopped",23.2
Cauliflower,8.0
"Bread - Rolls, Rye",8.6
Lamb - Sausage Casings,28.1
Cheese - Goat With Herbs,23.4
Mini - Vol Au Vents,4.4
Radish - Pickled,21.4
Coffee Swiss Choc Almond,15.6
Pork - Back Ribs,13.6
"Pork - Bacon, Double Smoked",2.4
Yoghurt Tubes,10.4
"Tart Shells - Sweet, 4",2.5
Oregano - Fresh,16.2
Lid - 0090 Clear,27.3
Spinach - Frozen,20.2
Calaloo,22.5
Sobe - Cranberry Grapefruit,1.4
Longos - Lasagna Beef,18.3
Shrimp - Prawn,12.7
Pear - Packum,7.2
Campari,1.4
Lettuce - Arugula,16.8
Puree - Mocha,7.0
Bagel - Whole White Sesame,11.6
Pastry - Apple Muffins - Mini,7.6
Cheese Cheddar Processed,11.9
"Wine - Red, Wolf Blass, Yellow",28.9
Tuna - Fresh,2.3
Danishes - Mini Cheese,24.0
Vinegar - Cider,15.8
"Tomatoes - Cherry, Yellow",18.4
"Sauce - Bernaise, Mix",26.1
Capicola - Hot,16.6
Melon - Honey Dew,12.3
Soup - Campbells Tomato Ravioli,6.9
Coffee Decaf Colombian,22.2
Wine - Segura Viudas Aria Brut,16.7
Wine - Marlbourough Sauv Blanc,9.1
Pate Pans Yellow,12.1
Bread - Triangle White,1.6
Cafe Royale,22.1
Ice Cream Bar - Oreo Cone,23.4
Beets,10.8
Puree - Pear,25.1
Pork Loin Bine - In Frenched,4.9
Sauce Bbq Smokey,21.3
"Syrup - Monin, Amaretta",5.7
"Jam - Raspberry,jar",3.6
Table Cloth 54x72 White,18.3
Flax Seed,22.8
